variant_id	variant_name	chemical_id	chemical_name
PA166156476	rs698	PA449165	cyclophosphamide
PA166156476	rs698	PA450588	naltrexone
PA166283281	rs444904	PA7000	sorafenib
PA166154805	rs4986938	PA451581	tamoxifen
PA166156906	rs25648	PA128406956	fluorouracil
PA166156906	rs25648	PA131285527	oxaliplatin
PA166156906	rs25648	PA449014	cisplatin
PA166155597	rs676210	PA449594	fenofibrate
PA166154854	rs1008805	PA133950441	hmg coa reductase inhibitors
PA166154854	rs1008805	PA448432	anastrozole
PA166154854	rs1008805	PA450196	letrozole
PA166155632	rs1367117	PA450084	irbesartan
PA166155632	rs1367117	PA451906	warfarin
PA166185727	rs886043595	PA449646	flecainide
PA166185727	rs886043595	PA450488	mexiletine
PA166185905	rs397515874	PA166182881	migalastat
PA166154503	rs784888	PA450395	metformin
PA166268441	rs11640115	PA448497	aspirin
PA166268441	rs11640115	PA449053	clopidogrel
PA166155039	rs2307240	PA166321761	remimazolam
PA166155039	rs2307240	PA449053	clopidogrel
PA166155442	rs8192709	PA449165	cyclophosphamide
PA166155442	rs8192709	PA449441	efavirenz
PA166155442	rs8192709	PA450401	methadone
PA166155630	rs1143634	PA450550	morphine
PA166155630	rs1143634	PA452233	antipsychotics
PA166155630	rs1143634	PA452639	infliximab
PA166180546	rs8124728	PA451494	stavudine
PA166155564	rs193922747	PA164749136	desflurane
PA166155564	rs193922747	PA448710	caffeine
PA166155564	rs193922747	PA449461	enflurane
PA166155564	rs193922747	PA449845	halothane
PA166155564	rs193922747	PA450106	isoflurane
PA166155564	rs193922747	PA450434	methoxyflurane
PA166155564	rs193922747	PA451341	sevoflurane
PA166155564	rs193922747	PA451522	succinylcholine
PA166153885	rs45589337	PA448771	capecitabine
PA166155674	rs2241883	PA449594	fenofibrate
PA166184212	rs508448	PA452619	heroin
PA166154695	rs1061472	PA150481189	taxanes
PA166154695	rs1061472	PA448803	carboplatin
PA166164951	rs150212784	PA165950341	ivacaftor
PA166164951	rs150212784	PA166179845	ivacaftor / tezacaftor
PA166164951	rs150212784	PA166190041	elexacaftor / tezacaftor / ivacaftor
PA166154091	rs7917983	PA449899	hydrochlorothiazide
PA166157349	rs2270007	PA449015	citalopram
PA166153653	rs1805054	PA451257	risperidone
PA166157430	rs7793837	PA448068	salbutamol
PA166155046	rs3024530	PA165983754	pitrakinra
PA166157424	rs6966038	PA449015	citalopram
PA166157538	rs320	PA449594	fenofibrate
PA166156686	rs45605536	PA10804	imatinib
PA166156686	rs45605536	PA162372878	dasatinib
PA166396181	rs1009122956	PA134308647	rosuvastatin
PA166396181	rs1009122956	PA166185957	estrone sulfate
PA166153827	rs11265572	PA451578	tacrolimus
PA166159777	rs140602333	PA448771	capecitabine
PA166154813	rs7160796	PA10832	corticosteroids
PA166155096	rs9934438	PA165980614	fluindione
PA166155096	rs9934438	PA450921	phenprocoumon
PA166155096	rs9934438	PA451906	warfarin
PA166155096	rs9934438	PA452632	acenocoumarol
PA166170188	rs34186955	PA449212	daunorubicin
PA166170188	rs34186955	PA449412	doxorubicin
PA166155127	rs28374453	PA166163690	desmethylnaproxen
PA166155127	rs28374453	PA166179720	tapentadol
PA166155127	rs28374453	PA448015	acetaminophen
PA166154844	rs660652	PA164712950	Opium alkaloids and derivatives
PA166154844	rs660652	PA450626	nicotine
PA166153600	rs928655	PA164713366	Tumor necrosis factor alpha (TNF-alpha) inhibitors
PA166155356	rs735482	PA451644	thalidomide
PA166319824	rs575763449	PA128406956	fluorouracil
PA166176700	rs4760658	PA451906	warfarin
PA166153930	rs147601618	PA448771	capecitabine
PA166171094	rs2228000	PA164713176	Platinum compounds
PA166154797	rs2498804	PA448803	carboplatin
PA166154797	rs2498804	PA449014	cisplatin
PA166154384	rs2734833	PA164713257	Selective serotonin reuptake inhibitors
PA166156093	rs2284017	PA450243	lithium
PA166154090	rs7917432	PA10204	tenofovir
PA166203408	rs2233407	PA131301952	gefitinib
PA166155619	rs1051685	PA451644	thalidomide
PA166177127	rs10123866	PA10066	duloxetine
PA166153776	rs4844880	PA451578	tacrolimus
PA166154188	rs62621365	PA449563	exemestane
PA166154217	rs145119820	PA450373	mephenytoin
PA166155210	rs2857657	PA451257	risperidone
PA166182336	rs10802887	PA448320	allopurinol
PA166206221	rs3802281	PA450401	methadone
PA166155735	rs4848306	PA164713366	Tumor necrosis factor alpha (TNF-alpha) inhibitors
PA166154595	rs6539870	PA449552	etoposide
PA166199041	rs757081	PA449899	hydrochlorothiazide
PA166157541	rs3594	PA150481189	taxanes
PA166157541	rs3594	PA448803	carboplatin
PA166179948	rs3852209	PA450626	nicotine
PA166155789	rs10490162	PA452233	antipsychotics
PA166185405	rs7606603	PA448499	atenolol
PA166153578	rs581111	PA448685	buprenorphine
PA166153578	rs581111	PA450741	oxycodone
PA166285101	rs6686529	PA451341	sevoflurane
PA166154602	rs7311358	PA164748728	mycophenolic acid
PA166154602	rs7311358	PA448803	carboplatin
PA166154602	rs7311358	PA449383	docetaxel
PA166154602	rs7311358	PA450428	methotrexate
PA166154602	rs7311358	PA450566	mycophenolate mofetil
PA166154602	rs7311358	PA450761	paclitaxel
PA166157273	rs854560	PA449053	clopidogrel
PA166154157	rs12777823	PA451906	warfarin
PA166156697	rs80143932	PA449177	cytarabine
PA166156697	rs80143932	PA449961	idarubicin
PA166185725	rs121908551	PA450488	mexiletine
PA166156371	rs2948694	PA448073	ethanol
PA166180172	rs9397685	PA449599	fentanyl
PA166177119	rs9873889	PA10066	duloxetine
PA166155963	rs6138150	PA164713366	Tumor necrosis factor alpha (TNF-alpha) inhibitors
PA166155798	rs11123469	PA452233	antipsychotics
PA166156787	rs2216711	PA450801	paroxetine
PA166199061	rs1446468	PA450480	metoprolol
PA166211543	rs36120609	PA449014	cisplatin
PA166211543	rs36120609	PA449165	cyclophosphamide
PA166211543	rs36120609	PA450688	olanzapine
PA166154421	rs7124442	PA449015	citalopram
PA166156091	rs2267076	PA450428	methotrexate
PA166153719	rs2819742	PA448500	atorvastatin
PA166153719	rs2819742	PA448897	cerivastatin
PA166153719	rs2819742	PA451363	simvastatin
PA166154633	rs11045879	PA450379	mercaptopurine
PA166154633	rs11045879	PA450428	methotrexate
PA166157391	rs4646437	PA10233	voriconazole
PA166157391	rs4646437	PA449167	cyclosporine
PA166157391	rs4646437	PA450401	methadone
PA166157391	rs4646437	PA451578	tacrolimus
PA166159131	rs1801157	PA164783958	alemtuzumab
PA166159131	rs1801157	PA448926	chlorambucil
PA166159131	rs1801157	PA449165	cyclophosphamide
PA166159131	rs1801157	PA449655	fludarabine
PA166159131	rs1801157	PA451100	prednisone
PA166159131	rs1801157	PA451261	rituximab
PA166159131	rs1801157	PA451879	vincristine
PA166155352	rs445925	PA133950441	hmg coa reductase inhibitors
PA166155329	rs17751934	PA164712563	Bisphosphonates
PA166154375	rs2514218	PA10026	aripiprazole
PA166154375	rs2514218	PA451257	risperidone
PA166161174	rs5993883	PA451201	quetiapine
PA166182407	rs795484	PA450550	morphine
PA166182407	rs795484	PA452618	opioids
PA166157795	rs7867504	PA449748	gemcitabine
PA166153865	rs16851030	PA448497	aspirin
PA166154337	rs1799978	PA450401	methadone
PA166154337	rs1799978	PA450688	olanzapine
PA166154337	rs1799978	PA451257	risperidone
PA166156707	rs5326	PA450401	methadone
PA166153547	rs5051	PA448499	atenolol
PA166153547	rs5051	PA448561	benazepril
PA166153547	rs5051	PA452640	imidapril
PA166154139	rs11572076	PA450566	mycophenolate mofetil
PA166178411	rs79430272	PA128406956	fluorouracil
PA166178411	rs79430272	PA449165	cyclophosphamide
PA166178411	rs79430272	PA449476	epirubicin
PA166211523	rs67624739	PA164781343	varenicline
PA166211523	rs67624739	PA448687	bupropion
PA166211523	rs67624739	PA450626	nicotine
PA166153829	rs11580409	PA452229	antidepressants
PA166159770	rs200562975	PA448771	capecitabine
PA166350842	rs142421637	PA449441	efavirenz
PA166350842	rs142421637	PA451141	propofol
PA166201505	rs3115672	PA448803	carboplatin
PA166201505	rs3115672	PA449748	gemcitabine
PA166157694	rs770063251	PA128406956	fluorouracil
PA166210044	rs6589386	PA448073	ethanol
PA166157862	rs1414334	PA449061	clozapine
PA166157862	rs1414334	PA450688	olanzapine
PA166157862	rs1414334	PA451257	risperidone
PA166319223	rs374527058	PA128406956	fluorouracil
PA166156528	rs1870377	PA7000	sorafenib
PA166182353	rs4659982	PA448320	allopurinol
PA166155680	rs2298771	PA10888	clobazam
PA166155680	rs2298771	PA448785	carbamazepine
PA166155680	rs2298771	PA449533	ethosuximide
PA166155680	rs2298771	PA450164	lamotrigine
PA166155680	rs2298771	PA450206	levetiracetam
PA166155680	rs2298771	PA450732	oxcarbazepine
PA166155680	rs2298771	PA451846	valproic acid
PA166155598	rs699664	PA451906	warfarin
PA166155733	rs4673993	PA450428	methotrexate
PA166155297	rs4799915	PA161199368	iloperidone
PA166177204	rs61908410	PA10066	duloxetine
PA166262005	rs772964366	PA450626	nicotine
PA166262004	rs200554095	PA450626	nicotine
PA166156629	rs7675300	PA164712308	Ace Inhibitors, Plain
PA166156596	rs4696480	PA164713366	Tumor necrosis factor alpha (TNF-alpha) inhibitors
PA166153762	rs4073054	PA164781343	varenicline
PA166156893	rs70991108	PA164712913	Multivitamins, Plain
PA166156893	rs70991108	PA164777036	hydroxychloroquine
PA166156893	rs70991108	PA449692	folic acid
PA166156893	rs70991108	PA450428	methotrexate
PA166156893	rs70991108	PA451547	sulfasalazine
PA166155446	rs8192725	PA452620	tegafur
PA166182332	rs1934341	PA448320	allopurinol
PA166153922	rs138616379	PA448771	capecitabine
PA166154701	rs1678387	PA164712563	Bisphosphonates
PA166206202	rs3802279	PA450401	methadone
PA166153656	rs1877724	PA451906	warfarin
PA166199721	rs147451859	PA10235	zoledronate
PA166199721	rs147451859	PA166185677	FEC100
PA166199721	rs147451859	PA449383	docetaxel
PA166199721	rs147451859	PA449748	gemcitabine
PA166199721	rs147451859	PA451743	trastuzumab
PA166156012	rs9977268	PA450428	methotrexate
PA166178067	rs397508435	PA165950341	ivacaftor
PA166156929	rs578427	PA450395	metformin
PA166157290	rs1149222	PA130620651	anthracyclines and related substances
PA166156543	rs2231137	PA10804	imatinib
PA166156543	rs2231137	PA162372878	dasatinib
PA166156543	rs2231137	PA165958345	nilotinib
PA166156543	rs2231137	PA166353181	resmetirom
PA166156543	rs2231137	PA450085	irinotecan
PA166157876	rs4825476	PA449015	citalopram
PA166154722	rs7984870	PA448432	anastrozole
PA166154722	rs7984870	PA450196	letrozole
PA166177115	rs9310657	PA10066	duloxetine
PA166156873	rs11960832	PA450688	olanzapine
PA166154579	rs4149056	PA10816	ezetimibe
PA166154579	rs4149056	PA128406956	fluorouracil
PA166154579	rs4149056	PA133950441	hmg coa reductase inhibitors
PA166154579	rs4149056	PA134308647	rosuvastatin
PA166154579	rs4149056	PA142650384	pitavastatin
PA166154579	rs4149056	PA164749431	gemtuzumab ozogamicin
PA166154579	rs4149056	PA165110775	SN-38
PA166154579	rs4149056	PA165374673	ticagrelor
PA166154579	rs4149056	PA165949771	Glucarpidase
PA166154579	rs4149056	PA166129446	simvastatin acid
PA166154579	rs4149056	PA166163161	lovastatin acid
PA166154579	rs4149056	PA166182348	elagolix
PA166154579	rs4149056	PA166183785	amlodipine / atorvastatin / perindopril arginine
PA166154579	rs4149056	PA166184379	letermovir
PA166154579	rs4149056	PA166184495	ezetimibe / simvastatin
PA166154579	rs4149056	PA166184498	ezetimibe / rosuvastatin
PA166154579	rs4149056	PA166285081	dulaglutide
PA166154579	rs4149056	PA448422	amprenavir
PA166154579	rs4149056	PA448500	atorvastatin
PA166154579	rs4149056	PA448817	carvedilol
PA166154579	rs4149056	PA448897	cerivastatin
PA166154579	rs4149056	PA449165	cyclophosphamide
PA166154579	rs4149056	PA449177	cytarabine
PA166154579	rs4149056	PA449334	diltiazem
PA166154579	rs4149056	PA449383	docetaxel
PA166154579	rs4149056	PA449412	doxorubicin
PA166154579	rs4149056	PA449456	enalapril
PA166154579	rs4149056	PA449476	epirubicin
PA166154579	rs4149056	PA449594	fenofibrate
PA166154579	rs4149056	PA449655	fludarabine
PA166154579	rs4149056	PA449673	fluoxetine
PA166154579	rs4149056	PA449688	fluvastatin
PA166154579	rs4149056	PA449719	furosemide
PA166154579	rs4149056	PA449961	idarubicin
PA166154579	rs4149056	PA450085	irinotecan
PA166154579	rs4149056	PA450180	lansoprazole
PA166154579	rs4149056	PA450221	levothyroxine
PA166154579	rs4149056	PA450264	lopinavir
PA166154579	rs4149056	PA450267	lorazepam
PA166154579	rs4149056	PA450272	lovastatin
PA166154579	rs4149056	PA450379	mercaptopurine
PA166154579	rs4149056	PA450428	methotrexate
PA166154579	rs4149056	PA450566	mycophenolate mofetil
PA166154579	rs4149056	PA451089	pravastatin
PA166154579	rs4149056	PA451234	repaglinide
PA166154579	rs4149056	PA451250	rifampin
PA166154579	rs4149056	PA451283	rosiglitazone
PA166154579	rs4149056	PA451363	simvastatin
PA166154579	rs4149056	PA451906	warfarin
PA166154579	rs4149056	PA7000	sorafenib
PA166183884	rs6473797	PA448073	ethanol
PA166183884	rs6473797	PA452619	heroin
PA166157742	rs2120266	PA450401	methadone
PA166156676	rs28365062	PA449441	efavirenz
PA166156676	rs28365062	PA451954	zidovudine
PA166266704	rs1353327	PA165949771	Glucarpidase
PA166155582	rs6166	PA164746560	thyrotropin alfa
PA166155582	rs6166	PA164749406	menotropins
PA166155582	rs6166	PA449693	follitropin beta
PA166155582	rs6166	PA449804	gonadotropin,chorionic
PA166155582	rs6166	PA451835	urofollitropin
PA166161188	rs121909011	PA165948052	roflumilast
PA166161188	rs121909011	PA165950341	ivacaftor
PA166161188	rs121909011	PA166152935	ivacaftor / lumacaftor
PA166161188	rs121909011	PA166190041	elexacaftor / tezacaftor / ivacaftor
PA166155809	rs11692021	PA450085	irinotecan
PA166154808	rs7142143	PA448492	asparaginase
PA166154808	rs7142143	PA449247	dexamethasone
PA166154808	rs7142143	PA450428	methotrexate
PA166205744	rs3749034	PA450401	methadone
PA166235847	rs718656	PA452618	opioids
PA166157891	rs113165732	PA10204	tenofovir
PA166192823	rs57918000	PA448771	capecitabine
PA166157870	rs2497538	PA450688	olanzapine
PA166206581	rs36024412	PA452618	opioids
PA166350925	rs138264188	PA451141	propofol
PA166179882	rs533123	PA450550	morphine
PA166157516	rs75527207	PA165950341	ivacaftor
PA166157516	rs75527207	PA166159659	nppb
PA166157516	rs75527207	PA166175754	tezacaftor
PA166157516	rs75527207	PA166190041	elexacaftor / tezacaftor / ivacaftor
PA166157516	rs75527207	PA166362502	vanzacaftor / tezacaftor / deutivacaftor
PA166154718	rs7317112	PA165949771	Glucarpidase
PA166154718	rs7317112	PA450428	methotrexate
PA166154467	rs12800734	PA452229	antidepressants
PA166154477	rs61886492	PA450379	mercaptopurine
PA166154477	rs61886492	PA450428	methotrexate
PA166180286	rs1801516	PA128406956	fluorouracil
PA166180286	rs1801516	PA449165	cyclophosphamide
PA166180286	rs1801516	PA449412	doxorubicin
PA166319908	rs200693895	PA128406956	fluorouracil
PA166155718	rs3832043	PA164748728	mycophenolic acid
PA166155718	rs3832043	PA165110775	SN-38
PA166155718	rs3832043	PA450085	irinotecan
PA166155718	rs3832043	PA450566	mycophenolate mofetil
PA166155718	rs3832043	PA7000	sorafenib
PA166185920	rs28935490	PA166182881	migalastat
PA166154532	rs2229774	PA130620651	anthracyclines and related substances
PA166154532	rs2229774	PA449212	daunorubicin
PA166154532	rs2229774	PA449412	doxorubicin
PA166154936	rs12903202	PA164712563	Bisphosphonates
PA166178596	rs540825	PA449599	fentanyl
PA166155511	rs58425034	PA450616	nevirapine
PA166177208	rs78482393	PA10066	duloxetine
PA166153738	rs3215400	PA448771	capecitabine
PA166153738	rs3215400	PA449177	cytarabine
PA166153738	rs3215400	PA451996	azacitidine
PA166156794	rs2279020	PA448785	carbamazepine
PA166156794	rs2279020	PA450947	phenytoin
PA166156794	rs2279020	PA451846	valproic acid
PA166179651	rs3828743	PA166123407	abiraterone
PA166179651	rs3828743	PA451096	prednisolone
PA166176935	rs10413455	PA450464	methylphenidate
PA166156603	rs6600879	PA450401	methadone
PA166177126	rs62319299	PA10066	duloxetine
PA166155981	rs428785	PA451089	pravastatin
PA166178541	rs141084494	PA128406956	fluorouracil
PA166178541	rs141084494	PA449165	cyclophosphamide
PA166178541	rs141084494	PA449476	epirubicin
PA166177138	rs3889402	PA10066	duloxetine
PA166155715	rs3812718	PA448785	carbamazepine
PA166155715	rs3812718	PA450164	lamotrigine
PA166155715	rs3812718	PA450947	phenytoin
PA166153711	rs2501873	PA449383	docetaxel
PA166153711	rs2501873	PA451906	warfarin
PA166154316	rs1079598	PA449061	clozapine
PA166154316	rs1079598	PA450688	olanzapine
PA166154316	rs1079598	PA452233	antipsychotics
PA166176701	rs11168292	PA451906	warfarin
PA166155327	rs16973410	PA450243	lithium
PA166153999	rs2227310	PA164713176	Platinum compounds
PA166153999	rs2227310	PA449383	docetaxel
PA166153999	rs2227310	PA449748	gemcitabine
PA166153999	rs2227310	PA450761	paclitaxel
PA166153999	rs2227310	PA451881	vinorelbine
PA166154088	rs7912580	PA449841	haloperidol
PA166154088	rs7912580	PA450688	olanzapine
PA166154088	rs7912580	PA451201	quetiapine
PA166154088	rs7912580	PA451257	risperidone
PA166154088	rs7912580	PA451974	ziprasidone
PA166177139	rs56355515	PA10066	duloxetine
PA166163444	rs8450	PA449167	cyclosporine
PA166163444	rs8450	PA451578	tacrolimus
PA166154688	rs899494	PA10204	tenofovir
PA166156533	rs2066702	PA448073	ethanol
PA166156533	rs2066702	PA450588	naltrexone
PA166159965	rs3025040	PA7000	sorafenib
PA166263684	rs55944529	PA450401	methadone
PA166323063	rs4073010	PA449273	dextromethorphan
PA166179693	rs767263838	PA166131379	o-desmethyltramadol
PA166179693	rs767263838	PA166179720	tapentadol
PA166179693	rs767263838	PA448015	acetaminophen
PA166179693	rs767263838	PA450550	morphine
PA166179693	rs767263838	PA451735	tramadol
PA166156728	rs307821	PA162372840	sunitinib
PA166155546	rs121918595	PA164749136	desflurane
PA166155546	rs121918595	PA449461	enflurane
PA166155546	rs121918595	PA449845	halothane
PA166155546	rs121918595	PA450106	isoflurane
PA166155546	rs121918595	PA450434	methoxyflurane
PA166155546	rs121918595	PA451341	sevoflurane
PA166155546	rs121918595	PA451522	succinylcholine
PA166156018	rs74795342	PA450243	lithium
PA166154975	rs5882	PA134308647	rosuvastatin
PA166154975	rs5882	PA449688	fluvastatin
PA166154975	rs5882	PA451363	simvastatin
PA166154977	rs7294	PA450921	phenprocoumon
PA166154977	rs7294	PA451906	warfarin
PA166154977	rs7294	PA452632	acenocoumarol
PA166394762	rs397508748	PA165950341	ivacaftor
PA166154519	rs1806201	PA451201	quetiapine
PA166154519	rs1806201	PA451257	risperidone
PA166154519	rs1806201	PA451341	sevoflurane
PA166156938	rs699947	PA128406956	fluorouracil
PA166156938	rs699947	PA130232992	bevacizumab
PA166156938	rs699947	PA131285527	oxaliplatin
PA166156938	rs699947	PA162372840	sunitinib
PA166156938	rs699947	PA164746012	ranibizumab
PA166156938	rs699947	PA448771	capecitabine
PA166156938	rs699947	PA449383	docetaxel
PA166156938	rs699947	PA449456	enalapril
PA166156938	rs699947	PA450085	irinotecan
PA166156938	rs699947	PA450198	leucovorin
PA166156938	rs699947	PA451346	sildenafil
PA166156947	rs760370	PA164749390	peginterferon alfa-2a
PA166156947	rs760370	PA164784024	peginterferon alfa-2b
PA166156947	rs760370	PA166171170	tipiracil hydrochloride
PA166156947	rs760370	PA449748	gemcitabine
PA166156947	rs760370	PA451241	ribavirin
PA166156947	rs760370	PA451775	trifluridine
PA166319644	rs568367673	PA128406956	fluorouracil
PA166185304	rs362267	PA451257	risperidone
PA166178088	rs121909047	PA165950341	ivacaftor
PA166178088	rs121909047	PA166114483	lumacaftor
PA166178088	rs121909047	PA166190041	elexacaftor / tezacaftor / ivacaftor
PA166155014	rs1529927	PA448682	bumetanide
PA166155014	rs1529927	PA449719	furosemide
PA166155014	rs1529927	PA451733	torasemide
PA166178397	rs8110364	PA128406956	fluorouracil
PA166178397	rs8110364	PA449165	cyclophosphamide
PA166178397	rs8110364	PA449476	epirubicin
PA166157077	rs3734254	PA449383	docetaxel
PA166157077	rs3734254	PA451644	thalidomide
PA166155618	rs1050891	PA448497	aspirin
PA166157468	rs17135437	PA449015	citalopram
PA166197261	rs61826952	PA448073	ethanol
PA166169975	rs2298881	PA128406956	fluorouracil
PA166169975	rs2298881	PA164713176	Platinum compounds
PA166169975	rs2298881	PA166122986	radiotherapy
PA166319202	rs370569731	PA128406956	fluorouracil
PA166156966	rs992160	PA449748	gemcitabine
PA166199021	rs10224002	PA449899	hydrochlorothiazide
PA166157100	rs4305746	PA10026	aripiprazole
PA166153615	rs1056515	PA128406956	fluorouracil
PA166153615	rs1056515	PA130232992	bevacizumab
PA166153615	rs1056515	PA450085	irinotecan
PA166153615	rs1056515	PA450198	leucovorin
PA166157023	rs2227956	PA448785	carbamazepine
PA166153854	rs12143842	PA448388	amlodipine
PA166153854	rs12143842	PA448970	chlorthalidone
PA166153854	rs12143842	PA450242	lisinopril
PA166156481	rs5522	PA449456	enalapril
PA166185792	rs28656907	PA10804	imatinib
PA166154624	rs10878232	PA164713176	Platinum compounds
PA166156447	rs12487736	PA448500	atorvastatin
PA166156447	rs12487736	PA451363	simvastatin
PA166154138	rs11568732	PA449053	clopidogrel
PA166161137	rs113878252	PA164713366	Tumor necrosis factor alpha (TNF-alpha) inhibitors
PA166153700	rs2307424	PA164781343	varenicline
PA166153700	rs2307424	PA449441	efavirenz
PA166260501	rs12678747	PA448497	aspirin
PA166182713	rs121913500	PA166293881	olutasidenib
PA166154747	rs11568658	PA10227	valganciclovir
PA166154747	rs11568658	PA164774763	latanoprost
PA166155918	rs1884613	PA449441	efavirenz
PA166156774	rs1800925	PA162372840	sunitinib
PA166366421	rs397508166	PA166190041	elexacaftor / tezacaftor / ivacaftor
PA166177785	rs1074287	PA166114414	cotinine
PA166177785	rs1074287	PA450626	nicotine
PA166153773	rs4654327	PA450588	naltrexone
PA166153773	rs4654327	PA452619	heroin
PA166154270	rs187238	PA451241	ribavirin
PA166154270	rs187238	PA451999	interferons
PA166235961	rs77709286	PA166235321	pralsetinib
PA166154097	rs9332096	PA164784021	ethambutol
PA166154097	rs9332096	PA450112	isoniazid
PA166154097	rs9332096	PA451182	pyrazinamide
PA166154097	rs9332096	PA451250	rifampin
PA166154097	rs9332096	PA451906	warfarin
PA166154121	rs10997242	PA452229	antidepressants
PA166157942	CYP2C19 ultrarapid metabolizer	PA10233	voriconazole
PA166154758	rs77876672	PA449899	hydrochlorothiazide
PA166176305	rs6853	PA449599	fentanyl
PA166155521	rs72549435	PA450626	nicotine
PA166156762	rs1423515	PA448068	salbutamol
PA166156974	rs1059288	PA448497	aspirin
PA166156341	rs2069062	PA451257	risperidone
PA166155970	rs117532069	PA164760860	pegaspargase
PA166155970	rs117532069	PA449165	cyclophosphamide
PA166155970	rs117532069	PA449177	cytarabine
PA166155970	rs117532069	PA449212	daunorubicin
PA166155970	rs117532069	PA449247	dexamethasone
PA166155970	rs117532069	PA449412	doxorubicin
PA166155970	rs117532069	PA450428	methotrexate
PA166155970	rs117532069	PA451100	prednisone
PA166155970	rs117532069	PA451663	thioguanine
PA166155970	rs117532069	PA451879	vincristine
PA166157902	CYB5R3 deficiency	PA450475	metoclopramide
PA166156991	rs1799971	PA10402	benzodiazepine derivatives
PA166156991	rs1799971	PA131890620	cannabinoids
PA166156991	rs1799971	PA164712362	Analgesics
